Structure_Name,Action,Plastic_Category,Location,Year,Observation_Value,Observation_Status
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD EU,2019,0.550,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD EU,2020,0.538,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD EU,2021,0.534,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD EU,2022,0.530,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD EU,2023,0.525,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD EU,2024,0.519,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD EU,2025,0.512,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD EU,2026,0.504,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD EU,2027,0.495,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD EU,2028,0.486,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD EU,2029,0.478,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD Asia,2019,0.090,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD Asia,2020,0.088,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD Asia,2021,0.088,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD Asia,2022,0.088,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD Asia,2023,0.087,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD Asia,2024,0.087,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD Asia,2025,0.086,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD Asia,2026,0.085,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD Asia,2027,0.084,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD Asia,2028,0.083,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,OECD Asia,2029,0.082,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other EU,2019,0.067,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other EU,2020,0.066,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other EU,2021,0.065,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other EU,2022,0.064,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other EU,2023,0.063,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other EU,2024,0.062,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other EU,2025,0.061,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other EU,2026,0.060,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other EU,2027,0.059,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other EU,2028,0.058,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other EU,2029,0.057,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other Eurasia,2019,1.397,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other Eurasia,2020,1.401,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other Eurasia,2021,1.401,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other Eurasia,2022,1.400,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other Eurasia,2023,1.399,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other Eurasia,2024,1.396,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other Eurasia,2025,1.392,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other Eurasia,2026,1.388,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other Eurasia,2027,1.383,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other Eurasia,2028,1.377,A
Plastic leakage to the environment by region - baseline projections,I,Macroplastics,Other Eurasia,2029,1.369,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD EU,2019,0.281,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD EU,2020,0.280,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD EU,2021,0.284,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD EU,2022,0.288,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD EU,2023,0.293,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD EU,2024,0.298,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD EU,2025,0.303,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD EU,2026,0.305,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD EU,2027,0.307,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD EU,2028,0.310,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD EU,2029,0.312,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD Asia,2019,0.077,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD Asia,2020,0.076,A
Plastic leakage to the environment by region - baseline projections,I,Microplastics,OECD Asia,2021,0.077,A
